faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-e7a0d8e9-c5be-4a54-850b-dc1067a88125,cs2,1777075241,1777073277,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-cdd553be-3662-403e-84a2-cbf57fed4372,cs2,1777072917,1777070535,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-2bca7ea4-f846-4f5d-9a0b-83c58a7450bf,cs2,1777069683,1777067532,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-b5b61a32-e712-4c0f-ad14-52d466a5ceec,cs2,1777066595,1777064330,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-2c8e7e07-acfe-452d-8879-bb5efc78ac59,cs2,1777057143,1777055222,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-ce708f49-f861-4de3-9bb1-68f10593a166,cs2,1777054324,1777051555,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-bab1ac82-134c-48a7-91b6-b22409ca8f50,cs2,1777051242,1777049380,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-243ac132-9c3f-4d4f-96eb-cbdc9dbdfdd7,cs2,1777032393,1777028362,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-7e8a5b58-2869-479b-9ed8-1c9529b3b3f9,cs2,1778707087,1778704239,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-7e62cb9b-b449-49ce-b4e5-3b3617f87f9c,cs2,1778703821,1778701236,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-5cea0ea8-3f01-48c0-9f1d-a4cfff3adfb3,cs2,1778699520,1778697318,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-dde079c6-c50b-4b88-b352-e9f31f18cd11,cs2,1778696923,1778694829,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-4be9e6e5-ee56-4180-8947-17b8fa88db0e,cs2,1778694337,1778691171,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-18783843-7139-4ee6-85db-b9c2d78991ab,cs2,1778625680,1778622961,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-2cabc4a9-0adc-4dc3-b117-0056a6dd2f46,cs2,1778621849,1778619412,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-57af42f5-8317-4003-ba38-fd0884f2ea41,cs2,1778169400,1778167066,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-3b3a57a1-e830-4c8f-9b3a-70a71b27c050,cs2,1778109453,1778107421,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-c870b813-2f40-4d48-8e77-b6ceb795f829,cs2,1778107098,1778104359,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-51f4b992-1f3b-4bd4-9a45-7d9a612b4d47,cs2,1778103583,1778101623,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-2fb40750-90bc-4ed8-a633-a381c8a0a2af,cs2,1778100765,1778098283,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-b08938f2-09db-49a8-b652-503576f6f8f9,cs2,1778097586,1778094915,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-88019da2-22f9-46d3-a68f-c2bf4b4cbf00,cs2,1778020675,1778017966,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-3ef30eb1-c61a-4688-a279-ea726c189d9f,cs2,1778017089,1778014904,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-00790da8-7438-41c1-ad8f-100d3055a4fd,cs2,1778014431,1778012559,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-4eb04718-909c-417a-89c3-513a5afceaa5,cs2,1778012255,1778010019,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-07ababb7-e2af-467c-bcdc-2c69d8e91722,cs2,1778009765,1778007521,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-78a3cbae-3f26-4bd3-b318-3acbe3284d57,cs2,1777992020,1777990561,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-9eeb9841-8b80-43b3-9f65-265d8eec876e,cs2,1777926367,1777923463,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-783e877f-b45b-4eae-a0b4-b4dbd782e109,cs2,1777923199,1777920447,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-9849fa07-a639-4a07-bed3-7abb1ff32668,cs2,1777910260,1777907437,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-3b93fc56-922c-4930-810f-a635242140fa,cs2,1777899224,1777897366,Europe 5v5 Queue,,5v5,10,5
mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,1-fc825098-2bfc-40a0-9c22-c51fa6093736,cs2,1777850629,1777848749,Europe 5v5 Queue,,5v5,10,5
